t	type	mode	profile	x	y	z	vx	vy	vz	ax
0.00	cmd	vel	hold	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	cmd	vel	step	0.00	0.00	0.00	0.43	0.43	0.00	0.00
15.89	cmd	vel	step	0.00	0.00	0.00	1.20	1.20	0.00	0.00
16.01	cmd	vel	step	0.00	0.00	0.00	1.88	1.88	0.00	0.00
16.78	cmd	vel	step	0.00	0.00	0.00	2.23	2.23	0.00	0.00
16.89	cmd	vel	step	0.00	0.00	0.00	3.46	3.46	0.00	0.00
17.01	cmd	vel	step	0.00	0.00	0.00	3.73	3.73	0.00	0.00
17.78	cmd	vel	step	0.00	0.00	0.00	4.29	4.29	0.00	0.00
17.90	cmd	vel	step	0.00	0.00	0.00	4.78	4.78	0.00	0.00
18.79	cmd	vel	step	0.00	0.00	0.00	5.00	5.00	0.00	0.00
20.00	cmd	vel	step	0.00	0.00	0.00	4.57	4.57	0.00	0.00
20.89	cmd	vel	step	0.00	0.00	0.00	3.80	3.80	0.00	0.00
21.01	cmd	vel	step	0.00	0.00	0.00	3.12	3.12	0.00	0.00
21.78	cmd	vel	step	0.00	0.00	0.00	2.77	2.77	0.00	0.00
21.89	cmd	vel	step	0.00	0.00	0.00	1.54	1.54	0.00	0.00
22.01	cmd	vel	step	0.00	0.00	0.00	1.27	1.27	0.00	0.00
22.78	cmd	vel	step	0.00	0.00	0.00	0.71	0.71	0.00	0.00
22.90	cmd	vel	step	0.00	0.00	0.00	0.22	0.22	0.00	0.00
23.79	cmd	vel	step	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.79	end	end	end	0.00	0.00	0.00	0.00	0.00	0.00	0.00

